Gene,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode13,barcode14,barcode15,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
ARR-3,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac(3)-IIa,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0
aac(3)-IVa,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac(3)-Id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aac(6')-Ib-cr,0,1,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0
aadA1,0,1,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,1,0,3,1
aadA13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,8,1
aadA14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aadA2,0,0,1,0,6,0,9,0,0,0,4,1,0,0,2,0,0,0,2,2,15
aadA24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
aadA5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ant(2'')-Ia,0,8,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0
ant(3'')-Ia,0,1,1,0,0,0,18,10,1,0,5,1,0,0,3,0,0,3,0,12,4
ant(6)-Ia,0,1,0,6,0,0,2,1,0,1,6,6,0,0,2,2,0,6,0,13,0
ant(9)-Ia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
aph(2'')-Ic,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0
aph(2'')-If,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(2'')-Ig,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(3'')-Ib,1,2,3,2,4,0,6,25,14,0,16,1,0,0,6,1,0,35,0,21,14
aph(3')-III,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0
aph(3')-Ia,0,0,2,0,2,0,5,4,0,0,0,1,0,0,10,0,0,0,0,0,0
aph(4)-Ia,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(6)-Id,0,2,2,0,3,1,9,23,17,0,11,2,0,0,6,1,0,29,0,24,9
blaACI-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
blaACT-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blaCARB-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
blaCARB-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
blaCMY-101,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
blaCMY-129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
blaCMY-78,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaCTX-M-138,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
blaCTX-M-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
blaDHA-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
blaDHA-12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaDHA-16,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,11
blaHERA-3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaMOR-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaOXA-1,0,0,0,0,7,0,56,7,0,0,0,0,0,0,77,0,0,0,0,0,0
blaOXA-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
blaOXA-347,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
blaOXA-362,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
blaOXA-534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaOXY-2-1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
blaOXY-2-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blaOXY-6-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
blaPLA-5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaROB-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
blaTEM-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
blaTEM-104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
blaTEM-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
blaTEM-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
blaTEM-126,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-127,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,10
blaTEM-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
blaTEM-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
blaTEM-141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
blaTEM-143,0,0,0,0,0,0,18,0,0,0,9,0,0,0,9,0,0,0,0,0,0
blaTEM-150,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-156,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1
blaTEM-166,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
blaTEM-168,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
blaTEM-186,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
blaTEM-1A,0,0,0,0,0,0,5,15,0,0,0,5,0,0,0,0,0,0,0,0,0
blaTEM-1B,0,0,0,0,0,0,20,0,5,0,0,10,0,0,15,0,0,0,0,0,10
blaTEM-1C,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
blaTEM-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
blaTEM-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaTEM-216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaTEM-217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blaTEM-29,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0
blaTEM-60,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-95,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTER-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat(pC194),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cat(pC221),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
catA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
catA2,0,0,0,0,1,0,7,4,1,0,0,0,0,0,7,0,0,0,0,0,0
catB2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catB3,0,1,0,0,1,1,8,1,0,0,0,0,0,0,10,0,0,0,0,0,0
catQ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0
cfr(C),0,0,0,0,0,0,9,0,0,0,108,9,0,0,0,27,0,108,9,18,0
cfxA3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfxA6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cmlA1,0,0,7,0,5,1,2,1,0,0,4,3,0,0,5,0,0,0,3,0,15
cmx,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cphA5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfrA1,1,2,7,0,0,0,35,26,0,1,2,0,0,0,6,4,1,2,0,0,5
dfrA12,0,0,3,0,0,0,1,4,2,0,9,1,0,0,1,1,0,0,2,0,17
dfrA14,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
dfrA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
dfrA16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
dfrA17,0,2,0,0,0,0,9,17,0,0,0,2,0,0,11,0,0,0,0,0,0
dfrA20,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0
dfrA5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dfrA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
dfrA8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dfrB3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
dfrB7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
dfrD,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
dfrG,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
ere(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ere(D),0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
erm(42),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
erm(47),0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
erm(B),0,12,0,0,0,0,84,0,0,0,6,18,0,0,90,0,0,0,0,12,0
erm(C),0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0
erm(F),0,12,0,0,6,0,36,6,0,0,0,0,0,0,48,0,0,0,0,0,0
erm(G),0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
floR,12,18,94,2,212,2,20,112,8,10,18,6,6,12,12,22,6,790,20,140,64
fosA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
fosA7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hugA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
lnu(A),0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
lnu(B),0,0,2,6,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,6,0
lnu(C),0,0,0,0,1,0,3,4,0,1,0,4,0,0,0,2,0,0,0,0,6
lnu(D),0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
lnu(F),0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lnu(G),0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lsa(A),0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsa(E),0,0,0,42,0,0,0,0,0,0,0,12,0,0,60,0,0,0,0,0,0
mcr-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
mdf(A),0,0,2,0,6,0,56,4,1,0,4,3,0,0,13,0,0,0,0,0,5
mef(A),0,4,0,0,2,0,14,6,0,0,2,4,0,2,16,2,0,4,0,0,0
mef(B),0,6,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,2,0
mef(C),0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
mph(A),12,0,12,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
mph(B),0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0
mph(E),0,2,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
mph(G),0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
mph(N),0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
msr(C),0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msr(D),0,12,0,6,0,0,0,0,0,6,18,0,0,6,24,6,0,0,0,18,0
msr(E),0,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
nimB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nimJ,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
optrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
oqxA,0,2,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0
oqxB,0,12,0,0,0,0,26,40,0,0,0,0,0,0,20,0,0,0,0,0,0
qnrB10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
qnrB18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qnrB19,0,46,4,0,2,0,84,8,700,0,154,9,0,9,99,2,2,1,36,0,1081
qnrB21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qnrB27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qnrB40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qnrB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
qnrB51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qnrB52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qnrB57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
qnrB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
qnrB65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
qnrB7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qnrB81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qnrB82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
qnrD1,180,2313,38,1,3347,1,15472,4178,978,0,127,56,0,3,4432,7,2,4,12,12,378
qnrD2,12,107,0,0,1,0,0,2,2,1,2,7,0,0,280,0,0,0,0,0,378
qnrD3,0,21,0,0,2,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,425
qnrS1,1,1,0,0,4,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,3
qnrS2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qnrS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qnrVC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
qnrVC6,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
str,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sul1,0,5,0,0,6,2,5,19,0,1,0,0,0,0,21,1,0,0,0,9,0
sul2,3,15,16,1,2,0,10291,36,12,0,7,4,0,2,15,2,3,10,0,14,4
sul3,0,0,0,0,0,0,6,0,0,0,2,2,0,0,1,0,0,0,1,0,10
tet(31),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2
tet(32),0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
tet(33),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
tet(36),0,3,0,0,0,0,9,3,0,0,0,3,0,0,0,0,0,6,0,0,0
tet(39),0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
tet(40),0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,14,0,4,0,2,0
tet(44),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
tet(59),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
tet(A),2,0,18,0,0,0,2,36,14,0,10,0,0,0,26,0,4,0,0,2,4
tet(B),0,0,9,0,0,0,39,3,0,0,3,6,0,0,9,0,0,0,0,0,9
tet(D),0,6,0,0,18,0,36,0,0,0,0,0,0,0,44,0,0,0,0,0,0
tet(E),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
tet(G),0,2,0,0,2,0,2,8,6,0,2,0,0,0,2,2,0,0,0,0,4
tet(H),0,0,0,0,0,0,2,0,2,0,12,2,0,0,6,0,0,8,0,16,6
tet(J),0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tet(L),0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,2
tet(M),0,0,0,3,0,0,6,0,0,0,9,3,0,3,9,0,0,6,0,21,6
tet(O),0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,6,0
tet(O/32/O),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
tet(O/W),0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tet(O/W)-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
tet(Q),0,12,0,0,0,0,54,12,0,9,24,3,0,0,3,0,0,9,0,3,6
tet(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
tet(W),0,0,0,0,0,0,21,0,0,9,21,0,0,0,0,12,0,3,0,33,3
tet(X),0,16,4,0,12,0,4,20,0,0,4,4,0,8,8,0,0,8,0,28,8
tet(Y),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,0,10,0
tet(Z),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tetA(P),0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,4,0,6,0
vga(C),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
