Barcode,Sample ID,Farm Type,Farm ID,Sample Type,Oblast,rank,species,read_count,relative_abundance_pct,total_reads
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,1,Escherichia coli,2829,18.89,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,2,Unknown,2510,16.76,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,3,Morganella morganii,2208,14.74,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,4,Klebsiella grimontii,1277,8.53,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,5,Klebsiella aerogenes,1136,7.59,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,6,Klebsiella pneumoniae,684,4.57,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,7,Comamonas thiooxydans,447,2.98,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,8,Klebsiella michiganensis,423,2.82,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,9,Citrobacter freundii,379,2.53,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,10,Citrobacter portucalensis,349,2.33,14975
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,1,Unknown,52095,47.13,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,2,Bacteroides graminisolvens,7330,6.63,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,3,Azospira sp. I09,3975,3.6,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,4,Azospira oryzae,3226,2.92,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,5,Providencia sp. PROV001,1592,1.44,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,6,Comamonas thiooxydans,1533,1.39,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,7,Proteus mirabilis,1439,1.3,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,8,uncultured Macellibacteroides sp.,1217,1.1,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,9,Comamonas aquatica,1144,1.04,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,10,Escherichia coli,1092,0.99,110524
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,1,Escherichia coli,56352,69.79,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,2,Unknown,8669,10.74,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,3,Shigella flexneri,2366,2.93,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,4,Escherichia albertii,1071,1.33,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,5,Morganella morganii,884,1.09,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,6,Escherichia fergusonii,744,0.92,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,7,Shigella dysenteriae,691,0.86,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,8,Salmonella enterica,566,0.7,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,9,Escherichia marmotae,555,0.69,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,10,Escherichia sp. E4742,522,0.65,80746
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,1,Unknown,39554,91.06,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,2,Escherichia coli,409,0.94,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,3,Trichococcus flocculiformis,246,0.57,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,4,Advenella alkanexedens,223,0.51,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,5,Bacteroides graminisolvens,218,0.5,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,6,Methanocorpusculum labreanum,179,0.41,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,7,Dehalococcoides mccartyi,169,0.39,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,8,Pseudomonas sp. C27(2019),167,0.38,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,9,Methanoculleus chikugoensis,167,0.38,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,10,Sphaerochaeta associata,158,0.36,43439
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,1,Escherichia coli,33578,51.84,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,2,Citrobacter sp. RHBSTW-00986,3418,5.28,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,3,Unknown,3173,4.9,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,4,Morganella morganii,3153,4.87,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,5,Proteus mirabilis,2133,3.29,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,6,Citrobacter portucalensis,2123,3.28,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,7,Citrobacter braakii,1522,2.35,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,8,Proteus vulgaris,1365,2.11,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,9,Bacteroides ovatus,1095,1.69,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,10,Providencia sp. PROV001,970,1.5,64778
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,1,Unknown,876,36.09,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,2,Escherichia coli,433,17.84,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,3,Citrobacter sp. RHBSTW-00986,267,11.0,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,4,Morganella morganii,220,9.06,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,5,Citrobacter braakii,112,4.61,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,6,Comamonas aquatica,101,4.16,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,7,Klebsiella oxytoca,92,3.79,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,8,Pseudomonas fragi,74,3.05,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,9,Pseudomonas bubulae,45,1.85,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,10,Bacteroides graminisolvens,45,1.85,2427
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,1,Escherichia coli,208631,49.46,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,2,Unknown,43202,10.24,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,3,Proteus mirabilis,38340,9.09,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,4,Morganella morganii,12003,2.85,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,5,Bacteroides ovatus,11474,2.72,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,6,Klebsiella pneumoniae,8802,2.09,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,7,Shigella flexneri,5696,1.35,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,8,Phocaeicola dorei,5402,1.28,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,9,Providencia sp. PROV001,5354,1.27,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,10,Klebsiella oxytoca,5260,1.25,421827
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,1,Unknown,107496,28.38,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,2,Escherichia coli,48527,12.81,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,3,Klebsiella oxytoca,45879,12.11,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,4,Acinetobacter pseudolwoffii,24465,6.46,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,5,Raoultella terrigena,12313,3.25,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,6,Shewanella putrefaciens,10062,2.66,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,7,Klebsiella pneumoniae,8005,2.11,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,8,Acinetobacter sp. F9,7185,1.9,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,9,Acinetobacter baumannii,7008,1.85,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,10,Leclercia adecarboxylata,5958,1.57,378812
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,1,Unknown,23832,38.16,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,2,Escherichia coli,8567,13.72,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,3,Comamonas kerstersii,5730,9.17,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,4,Comamonas aquatica,2573,4.12,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,5,Denitrificimonas caeni,1571,2.52,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,6,Klebsiella pneumoniae,1193,1.91,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,7,Pseudomonas sp. C27(2019),1132,1.81,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,8,Acinetobacter towneri,972,1.56,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,9,Salmonella sp. A29-2,964,1.54,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,10,Pseudomonas aeruginosa,866,1.39,62460
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,1,Unknown,20125,81.61,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,2,Prevotella herbatica,701,2.84,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,3,Denitrificimonas caeni,600,2.43,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,4,Segatella copri,438,1.78,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,5,Escherichia coli,425,1.72,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,6,Psychrobacter sp. van23A,382,1.55,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,7,Pseudomonas sp. C27(2019),280,1.14,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,8,Faecalibacterium prausnitzii,250,1.01,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,9,Psychrobacter sp. WB2,158,0.64,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,10,uncultured Macellibacteroides sp.,129,0.52,24660
BC11,5.2.,Pig,pig #2 B2,Native,,1,Unknown,61960,43.37,142878
BC11,5.2.,Pig,pig #2 B2,Native,,2,Escherichia coli,38390,26.87,142878
BC11,5.2.,Pig,pig #2 B2,Native,,3,Comamonas kerstersii,10918,7.64,142878
BC11,5.2.,Pig,pig #2 B2,Native,,4,Salmonella enterica,2200,1.54,142878
BC11,5.2.,Pig,pig #2 B2,Native,,5,Denitrificimonas caeni,1500,1.05,142878
BC11,5.2.,Pig,pig #2 B2,Native,,6,Prevotella herbatica,1492,1.04,142878
BC11,5.2.,Pig,pig #2 B2,Native,,7,Klebsiella pneumoniae,1333,0.93,142878
BC11,5.2.,Pig,pig #2 B2,Native,,8,Salmonella sp. A29-2,1272,0.89,142878
BC11,5.2.,Pig,pig #2 B2,Native,,9,Thiopseudomonas alkaliphila,1238,0.87,142878
BC11,5.2.,Pig,pig #2 B2,Native,,10,Wohlfahrtiimonas chitiniclastica,1085,0.76,142878
BC12,5.2.н,Pig,pig #2 B2,Enriched,,1,Unknown,50,100.0,50
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,1,Escherichia coli,18536,43.8,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,2,Unknown,8270,19.54,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,3,Fusobacterium ulcerans,4303,10.17,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,4,Goslarvirus goslar,2125,5.02,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,5,Proteus vulgaris,642,1.52,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,6,Escherichia fergusonii,522,1.23,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,7,Shigella flexneri,502,1.19,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,8,Salmonella enterica,489,1.16,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,9,Klebsiella pneumoniae,469,1.11,42318
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,10,Citrobacter freundii,452,1.07,42318
BC14,6. н,Pig,pig #3,Enriched,Kyiv Oblast,1,Unknown,415,100.0,415
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,1,Unknown,3773,42.58,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,2,Escherichia coli,1787,20.17,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,3,Comamonas kerstersii,1616,18.24,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,4,Pseudomonas aeruginosa,396,4.47,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,5,Pseudomonas guangdongensis,179,2.02,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,6,Denitrificimonas caeni,162,1.83,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,7,Acinetobacter towneri,148,1.67,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,8,Pseudomonas sp. C27(2019),107,1.21,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,9,Fusobacterium ulcerans,101,1.14,8860
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,10,Klebsiella pneumoniae,74,0.84,8860
BC16,7. н,Pig,pig #4,Enriched,Chernivtsi Oblast,1,Unknown,3625,100.0,3625
BC17,8.,Pig,pig #5,Native,Chernivtsi Oblast,1,Unknown,594,100.0,594
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,1,Escherichia coli,36722,22.81,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,2,Morganella morganii,27635,17.16,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,3,Unknown,26983,16.76,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,4,Proteus terrae,10151,6.3,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,5,Citrobacter portucalensis,6409,3.98,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,6,Bacteroides thetaiotaomicron,3857,2.4,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,7,Citrobacter freundii,3210,1.99,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,8,Anaerotignum propionicum,3173,1.97,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,9,Proteus mirabilis,3166,1.97,161011
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,10,Klebsiella aerogenes,2685,1.67,161011
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,1,Unknown,35091,81.68,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,2,Caproicibacterium lactatifermentans,1668,3.88,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,3,Escherichia coli,862,2.01,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,4,Alcaligenes faecalis,666,1.55,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,5,Thiopseudomonas alkaliphila,578,1.35,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,6,[Clostridium] scindens,361,0.84,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,7,Ethanoligenens harbinense,185,0.43,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,8,Caproicibacterium sp. BJN0003,172,0.4,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,9,Comamonas testosteroni,138,0.32,42963
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,10,Caproicibacterium argilliputei,131,0.3,42963
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,1,Escherichia coli,865,28.03,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,2,Unknown,623,20.19,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,3,Advenella alkanexedens,337,10.92,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,4,Escherichia phage GeorgBuechner,232,7.52,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,5,Thiopseudomonas alkaliphila,164,5.31,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,6,Morganella morganii,73,2.37,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,7,Escherichia phage vB_EcoS_Sponge,66,2.14,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,8,Escherichia phage BF9,62,2.01,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,9,Escherichia phage TheodorHerzl,58,1.88,3086
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,10,Escherichia phage vb_EcoS_bov22_1,48,1.56,3086
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,1,Unknown,24435,69.42,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,2,Denitrificimonas caeni,2413,6.86,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,3,Pseudomonas sp. C27(2019),1754,4.98,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,4,Escherichia coli,847,2.41,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,5,Salmonella enterica,825,2.34,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,6,Pseudomonas aeruginosa,659,1.87,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,7,Thiopseudomonas alkaliphila,263,0.75,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,8,Segatella copri,245,0.7,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,9,Klebsiella pneumoniae,238,0.68,35198
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,10,Prevotella herbatica,229,0.65,35198
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,1,Escherichia coli,1417,50.92,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,2,Unknown,695,24.97,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,3,Klebsiella pneumoniae,247,8.88,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,4,Salmonella enterica,112,4.02,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,5,Escherichia fergusonii,69,2.48,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,6,Salmonella sp. A29-2,49,1.76,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,7,Shigella flexneri,37,1.33,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,8,Asteriusvirus PBECO4,35,1.26,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,9,Asteriusvirus av121Q,26,0.93,2783
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,10,Escherichia albertii,25,0.9,2783
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,1,Unknown,412561,90.55,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,2,Escherichia coli,2822,0.62,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,3,Denitrificimonas caeni,2719,0.6,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,4,Pseudomonas sp. C27(2019),2628,0.58,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,5,Methanoculleus chikugoensis,2010,0.44,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,6,Salmonella enterica,1748,0.38,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,7,Methanoculleus bourgensis,1541,0.34,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,8,Pseudomonas aeruginosa,1459,0.32,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,9,Sphaerochaeta associata,1349,0.3,455616
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,10,Serratia marcescens,1017,0.22,455616
BC24,11 н,Pig,pig #8,Enriched,,1,Escherichia coli,62311,52.72,118190
BC24,11 н,Pig,pig #8,Enriched,,2,Unknown,21450,18.15,118190
BC24,11 н,Pig,pig #8,Enriched,,3,Salmonella enterica,2851,2.41,118190
BC24,11 н,Pig,pig #8,Enriched,,4,Escherichia fergusonii,2717,2.3,118190
BC24,11 н,Pig,pig #8,Enriched,,5,Klebsiella pneumoniae,2329,1.97,118190
BC24,11 н,Pig,pig #8,Enriched,,6,Denitrificimonas caeni,2142,1.81,118190
BC24,11 н,Pig,pig #8,Enriched,,7,Shigella flexneri,1699,1.44,118190
BC24,11 н,Pig,pig #8,Enriched,,8,Morganella morganii,1587,1.34,118190
BC24,11 н,Pig,pig #8,Enriched,,9,Pseudomonas sp. C27(2019),1457,1.23,118190
BC24,11 н,Pig,pig #8,Enriched,,10,Pseudomonas aeruginosa,888,0.75,118190
